"id" "task" "rms" "power" "mainfreq" "jerk" "mri"
"89" 3 13 0.610096519687951 0.837301566619851 -0.0429447852760737 0.45283107691639 4701
"90" 4 13 0.0412809806707057 0.426876938359192 -0.158765432098765 -0.67439928459153 4698
"91" 5 13 0.77163534164649 0.936207846540394 -0.657657657657658 0.336227382464495 4710
"93" 7 13 -0.140848954561601 -0.218542702865627 0.15266106442577 -0.0552017130016108 4721
"94" 8 13 0.709870028043583 0.879365087219879 -0.0207631874298542 0.5425420164376 NA
"96" 10 13 0.337651321192085 0.579736888367971 -0.0762987012987013 0.467883709767922 4713
"97" 13 13 0.452979666094481 0.719838996905372 -0.0514018691588784 0.277570524150042 4827
"98" 14 13 0.131082345866027 -0.499575577049328 -0.016655562958028 0.0920812011328591 4708
"99" 16 13 0.149922332932395 0.0241818413545735 0.115853658536585 0.626216626426542 4725
"100" 18 13 0.316221166503877 0.634786421365072 0.00162568583621217 -0.0415588978839131 4870
"101" 19 13 0.246936590156148 0.528514891366107 0.0686192468619247 -0.00752320047789762 4735
"102" 20 13 -0.91456203812964 -3.38681192560405 0.00558092338914247 -0.282324811589174 4851
"103" 21 13 -0.212093610134853 0.445827305231946 0.284703320631464 -0.594533685128865 4726
"104" 22 13 -0.325825919218134 -1.08411638868305 0.122182680901542 -0.137044332134459 4742
"105" 23 13 0.48233546327181 0.679563654061246 0.125738188976378 0.150648340202342 4719
"106" 24 13 0.453689629446382 0.806065418393758 -0.019570707070707 0.158868533236853 4839
"108" 26 13 0.576826834136779 0.808183469553584 0.0945121951219512 0.16937305097536 4853
"114" 34 13 0.0271758051290135 0.477601668694148 0.228981544771018 0.0319517753567312 4848
"121" 42 13 -0.724844098414628 -9.24465950458131 0.0032362459546924 -0.23173949508114 4856
"124" 45 13 -0.981213760202062 -3.08965498415923 0.0493527508090616 -0.303104670315058 4877
